,team,number,position,height,weight,hometown,highschool,year
James Hoogstraten,Colby,78,OL,"6'3""",278,"Glen Mills, Pa.",Episcopal Academy,2025
Logan Hawkes,Colby,80,WR,"6'5""",227,"Buzzards Bay, Mass.",Bourne,2024
Elian Joseph,Colby,81,WR,"5'10""",148,"Bellevue, Wash.",Lakeside,2026
Cormac Wright,Colby,82,WR,"5'10""",172,"Franklin, Mass.",St. Sebastian's,2026
Emmanuel Tshowa,Colby,83,WR,"5'11""",174,"Winthrop, Mass.",The Dexter Southfield School,2025
Sawyer Busny,Colby,84,WR,"5'9""",165,"Wellesley, Mass.",Wellesley,2025
Matt McHugh,Colby,85,WR,"6'0""",207,"Belmont, Mass.",Belmont,2025
Atticus Duncan,Colby,86,TE,"6'7""",229,"Narragansett, R.I.",Narragansett,2025
Sebastian Dobron,Colby,88,WR,"6'0""",208,"Barrington, R.I.",Moses Brown,2026
Pat Sweetnam,Colby,89,TE,"6'6""",236,"Marblehead, Mass.",St. John's Prep,2023
Rome Banaitis,Colby,90,DL,"6'2""",249,"Medway, Mass.",Medway,2024
Tyler Robbins,Colby,91,DL,"6'2""",233,"Titusville, N.J.",Hun School,2024
Sam Hazzard,Colby,92,DL,"6'4""",278,"North Dartmouth, Mass.",Tabor Academy,2025
Taj McDowell,Colby,93,DL,"6'0""",244,"Poughkeepsie, N.Y.",Iona Preparatory,2025
Jordan Uzochukwu,Colby,94,DL,"6'2""",239,"Lawrenceville, Ga.",St. Mark's School,2024
Jack Mullen,Colby,96,DL,"6'5""",218,"Trumbull, Conn.",Fairfield Prep,2026
Andrew Iferenta,Colby,97,DL,"6'1""",280,"New Providence, Bahamas",Lawrenceville School,2024
C DeVante Reid,Trinity,1,WR,"6'0""",190,"London, England",Archbishop Stepinac (N.Y.),2023
Mathew Laughlin,Trinity,2,WR,"5'10""",185,"Cape Elizabeth, Maine",Bridgton Academy,2025
Darren Warren,Trinity,3,CB,"5'11""",185,"West Haven, Conn.",St. Joseph,2023
Will Kirby,Trinity,4,RB,"6'1""",205,"Darien, Conn",Darien,2024
Colin Cunningham,Trinity,5,DB,"6'1""",184,"Lexington,Mass",Middlesex,2024
Colin McCabe,Trinity,6,RB,"5'11""",205,"Madison, Conn",Daniel Hand,2024
Bobby Wiesenhahn,Trinity,7,QB,"6'4""",190,"Milton, Mass.",Boston College HS,2026
Jason Irizarry,Trinity,8,WR,"5'9""",193,"New Rochelle, N.Y.",Kent (Conn.),2026
Ma-Lyke Davis,Trinity,9,DB,"6'1""",190,"Danbury, Conn.",Archbishop Stepinac (N.Y.),2025
Avery Cheney,Trinity,10,QB,"6'2""",205,"Sharon, Mass.",Rivers,2025
Charlie Cooper,Trinity,10,DB,"6'0""",150,"Sarasota, Fla.",Riverview,2026
Weston Terzi,Trinity,11,S,"6'1""",205,"Wallingford, Conn.",Mark T. Sheehan,2023
Spencer Fetter,Trinity,12,QB,"6'3""",195,"Winter Park, Fla.",Trinity Prep,2023
Ian Coffey,Trinity,13,WR,"5'10""",175,"Wenham, Mass",Hamilton-Wenham,2024
Drake Bellisari,Trinity,14,DB,"5'11""",185,"Powell, Ohio",Columbus Academy,2026
Jack Lennon,Trinity,14,QB,"6'2""",185,"Tampa, Fla.",Plant,2026
Zander Zebrowski,Trinity,15,QB,"5'11""",195,"Verona, N.J.",Seton Hall,2024
Nicholas Bailey,Trinity,16,QB,"6'2""",200,"Cheshire, Conn.",New Hampton (N.H),2024
Justin O'Neil-Riley,Trinity,17,DB,"5'10""",165,"Dorchester, Mass.",Belmont Hill,2023
Rafe Carner,Trinity,18,CB,"5'11""",180,"Northport, N.Y.",Northport,2026
Enzi Dabner-Teacher,Trinity,19,WR,"5'11""",192,"Tarrytown, N.Y.",Hackley,2024
Brendan Gaffney,Trinity,19,S,"6'0""",190,"Simsbury, Conn.",Simsbury,2025
Matthew McCarthy,Trinity,20,WR,"5'10""",175,"Danvers, Mass.",Danvers,2023
Jack Schneider,Trinity,21,WR,"5'9""",180,"Braintree, Mass",Thayer Academy,2024
Cal Messina,Trinity,22,RB,"5'8""",185,"Pittsfield, Mass",Williston-Northampton,2024
Keegan Sullivan,Trinity,23,WR,"5'10""",170,"Scituate, Mass.",Scituate,2026
C Aidan Kennedy,Trinity,24,DB,"5'10""",195,"East Longmeadow, Mass.",Suffield Academy (Conn.),2023
Luke Lentine,Trinity,25,DB,"5'11""",185,"Westborough, Mass.",Westborough,2025
Amari Marsman,Trinity,25,RB,"6'1""",200,"Milton, Mass.",Milton,2026
Tyler DiNapoli,Trinity,26,RB,"6'0""",187,"West Haven, Conn.",Canterbury,2026
Alec Medwar,Trinity,27,CB,"5'11""",175,"Darien, Conn.",Darien,2026
R.J. Martini,Trinity,28,S,"5'11""",185,"Morristown, N.J.",Delbarton,2025
Jack Sokol,Trinity,29,K/P,"5'5""",137,"Medfield, Mass.",Catholic Memorial,2026
Thomas Batson,Trinity,30,RB,"5'11""",185,"Haddonfield, N.J.",Haddonfield Memorial,2025
Michael Olivo,Trinity,32,S,"5'11""",180,"Basking Ridge, N.J.",Ridge,2026
Justin Torres,Trinity,33,S,"5'11""",185,"Stamford, Conn.",King,2025
Hunter Tully,Trinity,34,DB,"5'10""",190,"Taunton, Mass.",Catholic Memorial,2023
Tanner LaRosa,Trinity,35,RB,"6'0""",185,"Southington, Conn",Southington,2024
Tyler Jameson,Trinity,36,S,"6'2""",210,"Lawrence, N.J.",Hun,2026
Dan Calderon,Trinity,37,OLB,"6'0""",205,"Levittown, N.Y.",General Douglas MacArthur,2024
Connor Maron,Trinity,38,CB,"6'0""",180,"Weston, Fla.",Plantation,2025
John Fiore III,Trinity,39,LB,"6'1""",205,"Fairfield, N.J.",Bergen Catholic,2026
Wigs Crowley,Trinity,40,S,"6'0""",195,"East Milton, Mass.",Bridgton Academy,2023
Zachary Kelleher,Trinity,41,LB,"6'1""",200,"Hingham, Mass.",Hingham,2025
C Brian Casagrande,Trinity,42,LB,"6'1""",225,"Madison, Conn.",Daniel Hand,2023
Jacob Rothmann,Trinity,43,LB,"6'0""",208,"Norwell, Mass.",St. Paul’s (N.H.,2025
Michael Masse,Trinity,44,LB,"5'11""",230,"Dedham, Mass.",Xavierian Brothers,2023
Jake Neuman,Trinity,45,LB,"6'1""",225,"Easthampton, Mass.",Easthampton,2026
Timothy Abbazia,Trinity,46,LB,"5'10""",210,"Cos Cob, Conn.",Greenwich,2025
Michael Miller,Trinity,46,TE/WR,"6'1""",205,"Garden City, N.Y.",Chaminade,2026
Ronald Scott II,Trinity,47,S,"6'0""",190,"Rochester, Mich.",Detroit Country Day,2025
Luca de Lancellotti,Trinity,48,OLB,"6'0""",207,"Santa Ana, Calif",Servite,2024
Juanell Walker,Trinity,49,LB/S,"6'0""",210,"Baltimore, Md.",Episcopal (Va.),2023
Amari Phillips,Trinity,50,LB,"5'10""",245,"Branford, Conn.",Hamden Hall Country Day,2026
Aaron Poawui,Trinity,52,LB,"6'0""",225,"Montgomery Village, Md.",Maret,2026
Noah Glantz,Trinity,53,DL,"6'3""",240,"Scarsdale, N.Y.",Scarsdale,2023
Marc Lampkin,Trinity,54,DL,"6'1""",243,"McLean, Va.",Maret (D.C.),2026
Jose Ruiz,Trinity,55,LB,"6'1""",220,"Yonkers, N.Y.",Iona Prep,2026
Jack Garnett,Trinity,56,DB,"6'0""",210,"Rye, N.Y.",Rye,2026
Sean Michael Cangiano,Trinity,57,DL,"6'2""",270,"Cheshire, Conn.",Cheshire,2024
Joseph Lepore,Trinity,58,DL,"6'0""",250,"Winchester, Mass.",Winchester,2023
C Cade Klarides-Ditria,Trinity,59,LB,"6'2""",225,"Seymour, Conn.",Seymour,2023
Lyndon Gay,Trinity,60,LB/DE,"6'0""",210,"New Rochelle, N.Y.",Brunswick (Conn.),2026
Crawford Sargent,Trinity,61,OL,"6'1""",260,Greenwich Conn.,Choate Rosemary Hall,2023
Anthony DiFederico,Trinity,63,OL,"6'1""",270,"Milford, Conn.",Jonathan Law,2025
Ryan Luzzi,Trinity,64,OL,"5'11""",275,"Milford, Conn.",Williston-Northampton (Mass.),2026
Anthony Casillo,Trinity,65,OL,"6'2""",290,"Staten Island, N.Y",St. Peter's Boys,2024
Boland Faughnan,Trinity,67,OL,"6'6""",280,"Greenwich, Conn.",Brunswick,2025
Robert Mihaly,Trinity,68,OL,"6'5""",292,"Trumbull, Conn.",St. Joseph,2023
Brandon Baker,Trinity,69,OL,"6'2""",275,"Quincy, Mass.","Weymouth, Mass.",2026
Declan Clancy,Trinity,70,OL,"6'4""",275,"Brookfield, Conn.",Canterbury,2025
Ryan Wiley,Trinity,71,OL,"6'5""",285,"Hagerstown, Md.",Mercersburg Academy (Pa.),2023
Jaheim Scott,Trinity,72,OL,"6'0""",275,"Bronx, N.Y.",Herbert H. Lehman,2024
C Kyle Woodring,Trinity,73,OL,"6'1""",280,"Norwalk, Conn.",Greenwich,2023
Christopher DeLeon-Kollmer,Trinity,75,DL,"6'2""",250,"Howard Beach, N.Y.",Poly Prep Country Day,2026
Mike Brice,Trinity,76,DT,"6'1""",280,"Fall River, Mass.",KIPP Acad. Lynn Collegiate,2025
Max Taylor,Trinity,77,DL,"6'6""",280,"Moultonborough, N.H.",New Hampton,2024
Matthew Almansi,Trinity,78,OL,"6'4""",265,"Westport, Conn.",Staples,2023
Patrick Donovan-Jenkins,Trinity,79,OL,"6'3""",265,"Bethesda, Md.",Georgetown Prep,2024
Jack Reiling,Trinity,81,WR,"6'4""",192,"Fairfield, Conn.",Fairfield Prep,2026
Sean Clapp,Trinity,82,WR,"6'4""",205,"Wyckoff, N.J.",Ramapo,2025
Max Roche,Trinity,83,TE,"6'4""",230,"Scituate, Mass",Scituate,2024
Zuri Johnson,Trinity,84,WR,"6'4""",172,"Powder Springs, Ga.",Marietta,2026
Thomas Walsh,Trinity,85,TE,"6'3""",235,"Pelham, N.Y.",Fordham Prep,2023
Luke Pickard,Trinity,86,TE,"6'5""",219,"Short Hills, N.J.",Millburn,2026
Kiel McGee,Trinity,87,TE,"6'5""",230,"Cresskill, N.J.",Cresskill,2025
Nicholas Zalanskas,Trinity,88,TE,"6'2""",225,"Andover, Mass.",Andover,2023
William McConnel,Trinity,89,TE,"6'6""",200,"Alexandria, Va",St.Stephen's & St.Agnes,2024
Oliver Waddleton,Trinity,89,K,"5'10""",175,"Westwood, Mass.",Xavierian Brothers,2026
Kevin Clark,Trinity,90,LB,"6'1""",215,"Hebron, Conn.",Hebron-Andover-Marlborough,2023
Khari Tidmore,Trinity,91,LB,"6'0""",205,"Solon, Ohio",University School,2025
Hampton Trout,Trinity,91,K,"5'11""",195,"Belmont, Mass",Belmont,2024
Joe Toyias,Trinity,92,DE/LB,"6'0""",235,"Newton Center, Mass.",Newton South,2026
Hassan Azeem,Trinity,93,DL,"6'1""",260,"South Windsor, Conn.",South Windsor,2023
Matthew Jumes,Trinity,94,K,"5'8""",178,"Franklin, Mass.",Moses Brown (R.I.),2025
Cooper Mandel,Trinity,95,DE,"6'3""",255,"Ramsey, N.J.",Ramsey,2023
Lucas Folan,Trinity,96,DE,"6'2""",235,"North Weymouth, Mass.",Catholic Memorial,2023
Kevin Keogh,Trinity,97,LB,"5'10""",225,"Cranford, N.J.",Cranford,2025
Skye Dolce,Trinity,98,DE/LB,"6'2""",210,"Hartford, Conn.",Northwest Catholic,2025
Christian Anzeveno,Trinity,99,DL,"6'1""",265,North Providence R.I,Willston Northampton (Mass.),2023
Alex Street,Hamilton,0,DE,"6'4""",263,"Sandy Hook, Conn.",Newtown HS,'23
Jared Schwartz,Hamilton,1,DB,"5'9""",178,"Slingerlands, N.Y.",Guilderland HS,'23
Christian Snell,Hamilton,2,DB,"6'0""",176,"Alden, N.Y.",Alden HS,'23
Bryce Molnar,Hamilton,3,DB,"5'11""",197,"McLean, Va.",McLean HS,'25
C Matt Banbury,Hamilton,4,QB,"6'0""",206,"Pittsburgh, Pa.",Wilbraham & Monson Academy [Mass.],'23
Corey Jones,Hamilton,5,RB,"5'11""",210,"Denver, Colo.",Manual HS,'23
Ian Esliker,Hamilton,6,DB,"6'1""",208,"Pleasantville, N.Y.",Pleasantville HS,'23
Joe Cairns,Hamilton,7,QB,"6'2""",204,"Rochester, N.Y.",McQuaid Jesuit HS,'25
Henry Rubey,Hamilton,9,QB,"6'0""",152,"New Albany, Ohio",Columbus Academy,'26
Matt LoPresti,Hamilton,10,LB,"5'9""",203,"Woodbury, Conn.",Mercersburg Academy [Pa.],'23
Zach Smith,Hamilton,11,QB,"5'11""",188,"Edgartown, Mass.",Martha's Vineyard Regional HS,'25
James Lewis,Hamilton,12,WR,"5'10""",178,"Greenfield Township, Pa.",Lakeland Jr.-Sr. HS,'24
Michael Lau,Hamilton,13,WR,"6'2""",195,"Westport, Conn.",Hopkins School,'24
Tighe Hoey,Hamilton,14,DB/P,"6'2""",204,"New Canaan, Conn.",St. Paul's School [N.H.],'25
Saleh Eltayeb,Hamilton,15,WR,"5'8""",144,"Utica, N.Y.",Proctor HS,'24
Josh Harmon,Hamilton,16,WR,"6'1""",194,"Rumson, N.J.",Rumson-Fair Haven Regional HS,'25
Shane Lavender,Hamilton,17,DB,"5'11""",187,"Latham, N.Y.",Shaker HS,'23
Vince Reph,Hamilton,18,WR,"5'11""",198,"Bethlehem, Pa.",Freedom HS,'24
Jack Herrell,Hamilton,19,QB,"5'10""",192,"Atherton, Calif.",Sacred Heart Prep,'26
Vincent Spitalieri,Hamilton,20,RB,"5'8""",189,"Manalapan, N.J.",Marlboro HS,'24
Jack Clougherty,Hamilton,21,WR,"5'11""",198,"Hingham, Mass.",Hingham HS,'23
Alex Hanna,Hamilton,22,DB,"5'7""",170,"Ridgefield, Conn.",Ridgefield HS,'24
Ryan Hunt,Hamilton,23,DB,"5'6""",161,"Hamilton, N.Y.",Hamilton Central School,'23
Alex Godwin,Hamilton,25,DB,"5'11""",178,"Duxbury, Mass.",Milton Academy,'26
Jacob Spafford,Hamilton,26,DB,"5'10""",170,"Windermere, Fla.",Lake Highland Preparatory School,'25
Leo Gerst,Hamilton,27,RB,"5'8""",164,"Houston, Texas",The Emery/Weiner School,'26
James Bourque,Hamilton,29,DB,"5'11""",195,"Fairfield, Conn.",Fairfield Ludlowe HS,'24
Kevin Lyons,Hamilton,30,LB,"6'0""",189,"Holliston, Mass.",Holliston HS,'25
John Wilson,Hamilton,31,LB,"5'10""",198,"Rose Valley, Pa.",Strath Haven HS,'24
Joseph Campanella,Hamilton,33,WR,"5'8""",185,"Hazlet, N.J.",Raritan HS,'26
Kyle Bratcher,Hamilton,34,DB,"5'10""",180,"Park Ridge, N.J.",Park Ridge HS,'26
John Young,Hamilton,35,RB,"5'11""",192,"Secaucus, N.J.",Secaucus HS,'26
Kamau Hopewell,Hamilton,36,RB,"5'11""",201,"Union City, Ga.",Landmark Christian School,'25
Lucas Perez-Segnini,Hamilton,38,WR,"6'3""",215,"Rye, N.Y.",Rye HS,'25
Cole Rivell,Hamilton,39,LB,"6'2""",208,"Endicott, N.Y.",Union-Endicott HS,'24
Thomas Reilly,Hamilton,40,LB,"5'10""",210,"Closter, N.J.",Northern Valley Regional HS,'23
Evan Reed,Hamilton,41,K/P,"6'0""",189,"Fair Haven, Vt.",Bridgton Academy [Maine],'26
Max Murphy,Hamilton,42,FB,"6'1""",234,"Pittsford, N.Y.",Pittsford Sutherland HS,'24
Josh Bucci,Hamilton,43,LB,"5'11""",200,"Norwich, Vt.",Hanover HS [N.H.],'26
Nick Hoff,Hamilton,44,LB,"5'10""",222,"Parker, Colo.",Ponderosa HS,'24
Will Peters,Hamilton,45,TE,"5'11""",193,"Garden City, N.Y.",Garden City HS,'26
Beau Sinardo,Hamilton,46,LB,"5'9""",188,"Waterville, N.Y.",Waterville HS,'26
Hayden Zeller,Hamilton,48,LB,"5'10""",225,"Weston, Mass.",Weston HS,'24
Jack Savalli,Hamilton,49,LB,"5'9""",199,"Merrick, N.Y.",Wellington C. Mepham HS,'25
C Aidan French,Hamilton,50,OL,"6'3""",292,"Larchmont, N.Y.",Mamaroneck HS,'23
C George Johnson,Hamilton,51,LB,"6'0""",218,"Summit, N.J.",Delbarton School,'23
Blake Molinari,Hamilton,53,DT,"6'0""",186,"Syosset, N.Y.",Cold Spring Harbor HS,'25
Ricardo Molina,Hamilton,55,DL,"6'0""",261,"Kensington, Md.",Albert Einstein HS,'23
Sam Feldman,Hamilton,56,OL,"6'0""",230,"Scarsdale, N.Y.",Scarsdale HS,'24
Grant Blackburn,Hamilton,59,DT,"6'0""",232,"Wilmington, N.C.",Eugene Ashley HS,'26
Andrew Chronis,Hamilton,60,OL,"5'11""",263,"Danvers, Mass.",Danvers HS,'25
Matt Morgan,Hamilton,62,OL,"6'3""",273,"Issaquah, Wash.",Eastside Catholic School,'25
Will Rampe,Hamilton,64,DT,"6'0""",251,"New Hope, Pa.",George School,'24
Colin Howe,Hamilton,65,OL,"6'2""",238,"Norfolk, Mass.",Xaverian Brothers HS,'24
Nick Potash,Hamilton,66,OL,"6'0""",257,"New York, N.Y.",Horace Mann School,'24
Ryan Smolarsky,Hamilton,67,OL,"6'0""",299,"Mount Sinai, N.Y.",Mount Sinai HS,'23
Dean Pallas,Hamilton,71,OL,"6'4""",295,"Bethel, Conn.",St. Luke's School,'25
Sean Daly,Hamilton,73,OL,"6'0""",287,"Westfield, Mass.",Westfield HS,'26
Joe Kubofcik,Hamilton,75,OL,"6'2""",271,"Wayne, N.J.",Wayne Hills HS,'25
James Luce,Hamilton,76,OL,"6'1""",262,"Wilton, Conn.",Wilton HS,'26
Jake LaMalva,Hamilton,77,OL,"6'1""",301,"Southborough, Mass.",St. Mark's School,'25
Connor Burt,Hamilton,80,WR,"5'10""",186,"Fairfield, Conn.",Fairfield Warde HS,'24
Colin Kelter,Hamilton,81,WR,"5'11""",163,"Danvers, Mass.",Danvers HS,'26
John Shultzaberger,Hamilton,82,WR,"6'0""",173,"Front Royal, Va.",Warren County HS,'26
Ian Fratarcangeli,Hamilton,83,FB/TE,"6'0""",222,"Huntington, N.Y.",Elwood-John H. Glenn HS,'25
Slade Springer,Hamilton,84,DE,"6'3""",209,"Constantia, N.Y.",Central Square HS,'23
Ezra Lombardi,Hamilton,85,WR,"5'8""",177,"Danvers, Mass.",Danvers HS,'24
Aidan Held,Hamilton,86,DE,"6'3""",213,"East Longmeadow, Mass.",Wilbraham & Monson Academy,'25
Liam Leonard,Hamilton,87,WR,"5'7""",151,"Shoreham, N.Y.",Shoreham-Wading River HS,'26
C Mark Howrigan,Hamilton,88,TE,"6'3""",218,"St. Albans, Vt.",Bellows Free Academy,'24
Henry Mitchell,Hamilton,89,TE,"6'7""",268,"Medfield, Mass.",Noble and Greenough School,'24
Thomas Sheft,Hamilton,90,DE,"6'0""",212,"Melrose, Mass.",Buckingham Browne & Nichols School,'26
Gavin Lawlor,Hamilton,91,DE,"6'3""",237,"Medina, Ohio",Western Reserve Academy,'24
Frank Ruiz,Hamilton,92,DE,"5'10""",215,"Tappan, N.Y.",Tappan Zee HS,'26
Chase White,Hamilton,93,DL,"6'0""",240,"Bethesda, Md.",Georgetown Preparatory School,'25
Thomas Rushing,Hamilton,94,DL,"6'2""",320,"Madisonville, La.",Saint Paul's School,'26
Jake Dale,Hamilton,95,DT,"6'1""",261,"Durham, N.C.",C.E. Jordan HS,'25
Daniel Goldberg,Hamilton,97,DE,"6'1""",219,"Franklin Lakes, N.J.",Ramapo HS,'26
Benjamin Sherman,Hamilton,98,DE,"6'3""",209,"Washington, D.C.",St. Albans School,'24
Jake Holmes,Hamilton,99,DT,"5'11""",258,"Berlin, Conn.",Berlin HS,'24
Wes Pierce,Middlebury,0,DL,"6'2""",220,"West Hartford, Conn.",Kingswood-Oxford,2025
Greg Livingston,Middlebury,1,WR,"5'11""",175,"Katonah, N.Y.",Milton Academy (Mass.),2023
Nolan Tibball,Middlebury,2,DB,"6'1""",200,"West Hartford, Conn.",Hall,2024
Noah Lee,Middlebury,3,WR,"5'9""",150,"Upper Dublin, Pa.",Upper Dublin,2026
Kieran Sheridan,Middlebury,4,LB,"6'1""",200,"Wayne, Pa.",Radnor,2024
Isaiah Izzo Lizardi,Middlebury,5,RB,"5'8""",175,"West Hartford, Conn.",William H. Hall,2025
Grant Yocam,Middlebury,6,WR,"5'9""",185,"Brentwood, Tenn.",Brentwood,2023
Kwesi Adu-Diawuo,Middlebury,7,LB,"6'1""",217,"Orange, N.J.",Lawrenceville School,2024
Alex Maldjian,Middlebury,8,RB,"5'9""",215,"Rumson, N.J.",Rumson-Fair Haven,2024
Shane Johnson,Middlebury,9,QB,"6'0""",185,"Plainsboro, N.J.",West Windsor-Plainsboro North,2026
Cole Kennon,Middlebury,10,QB,"6'3""",215,"Nashville, Tenn.",Ensworth,2024
Walker Coleman,Middlebury,11,RB,"6'2""",195,"Charleston, S.C.",Porter-Gaud School,2024
Brian Moran,Middlebury,12,QB,"6'4""",205,"Midlothian, Va.",New Hampton School (N.H.),2026
Ethan Vashel,Middlebury,13,QB,"6'1""",200,"Guilford, Conn.",The Hotchkiss School,2025
Teddy Daniel,Middlebury,14,DB,"6'1""",180,"Wellesley, Mass.",St. Sebastian's School,2024
Ben Tauber,Middlebury,15,QB,"6'0""",185,"Glastonbury, Conn.",Kingswood-Oxford School,2023
Rocco Stola,Middlebury,16,DB,"6'1""",185,"Northport, N.Y.",Northport,2025
Nick Perez,Middlebury,17,QB,"6'0""",205,"Cape Coral, Fla.",Bishop Verot,2024
Carter Stockwell,Middlebury,18,WR,"6'0""",205,"Charlotte, N.C.",Charlotte Latin School,2024
Coleman Nye,Middlebury,19,WR,"6'1""",182,"Weston, Mass.",Middlesex School,2025
Patrick Jamin,Middlebury,20,WR,"6'0""",195,"Rumson, N.J.",Rumson-Fair Haven,2025
Tomas Kenary,Middlebury,21,DL,"6'3""",255,"Chevy Chase, Md.",Landon School,2024
Connor Randall,Middlebury,22,DB,"5'9""",170,"Bronxville, N.Y.",Bronxville,2025
Tyler Hardin,Middlebury,23,DB,"5'11""",197,"Winnetka, Ill.",New Trier,2025
Seth Boffa,Middlebury,24,WR,"6'0""",185,"Charlotte, Vt.",Champlain Valley Union,2025
Liam Roy,Middlebury,25,DB,"5'9""",180,"Allendale, N.J.",Northern Highlands,2023
Jordan Ramos,Middlebury,26,LB,"5'8""",185,"Houston, Texas",Cypress Falls,2023
Alec Brownlee,Middlebury,27,RB,"5'7""",170,"Glenview, Ill.",Loyola Academy,2023
Adam Harrington,Middlebury,28,DB,"6'0""",200,"Denver, Colo.",Columbine,2024
Jake Checchio,Middlebury,29,DB,"6'0""",180,"Warren, N.J.",Delbarton,2026
Frederick Wessel,Middlebury,30,DB,"6'1""",175,"Huntsville, Ala.",Randolph School,2026
Chet Johnston,Middlebury,31,LB,"6'3""",200,"Scituate, Mass.",St. Paul's School (N.H.),2025
LeeCharles McNeil,Middlebury,32,RB,"5'9""",195,"Devine, Texas",St. Mary's Hall,2023
Austin Gill,Middlebury,33,DL,"6'1""",220,"Gainesville, Fla.",Oak Hall School,2023
Ben Manuelian,Middlebury,34,DB,"5'8""",175,"Franklin Lakes, N.J.",Bergen Catholic,2026
Charles Armstrong,Middlebury,35,TE,"6'2""",225,"Richmond, Va.",Collegiate School,2024
Seth Cobb,Middlebury,36,DB,"5'10""",180,"Philadelphia, Pa.",Boys Latin Charter,2026
Coleman Brown,Middlebury,37,LB,"6'0""",205,"Charlotte, N.C.",Providence Day School,2023
Marco Motroni,Middlebury,38,WR,"5'7""",165,"Manhasset, N.Y.",Manhasset,2025
Mike Ahonen,Middlebury,39,WR,"6'2""",198,"Wellesley, Mass.",Belmont Hill,2026
Jack Greenburg,Middlebury,40,LB,"6'0""",220,"Washington, D.C.",Maret School,2024
Zach Levy,Middlebury,41,K,"6'0""",200,"Arvada, Colo.",Ralston Valley,2025
Andrew Haas,Middlebury,42,K,"5'10""",185,"Allendale, N.J.",Northern Highlands,2025
Owen Thornton,Middlebury,43,LB,"6'0""",205,"Merrimac, Mass.",New Hampton School (N.H.),2026
John McCool,Middlebury,44,LB,"6'1""",210,"Arlington, Va.",Yorktown,2023
Ollie Orvis,Middlebury,45,RB,"5'9""",205,"Essex, Vt.",Essex,2026
Sam Wilson,Middlebury,46,DB,"5'11""",205,"Darien, Conn.",Darien,2024
Luke Hayes,Middlebury,47,WR,"6'0""",185,"Maplewood, N.J.",Columbia,2023
Ace Clarke,Middlebury,48,LB,"5'10""",215,"Greenwich, Conn.",Brunswick School,2024
Finn Muldoon,Middlebury,49,DB,"6'1""",205,"Bethesda, Md.",Georgetown Prep,2023
Ryan McKay,Middlebury,50,LB,"5'11""",220,"Fair Haven, N.J.",Rumson-Fair Haven Regional,2026
George Clough,Middlebury,51,OL,"5'11""",265,"Fair Haven, N.J.",Rumson-Fair Haven Regional,2026
Cole Wiseman,Middlebury,52,LB,"6'0""",210,"Charlotte, N.C.",Weddington,2025
Leonardo Urena,Middlebury,53,DL,"6'2""",285,"Cresskill, N.J.",Cresskill,2024
Nicholas Kartsounis,Middlebury,54,OL,"6'4""",250,"Middleton, Mass.",Masconomet Regional,2023
Thaddeus Foote,Middlebury,55,OL,"6'5""",275,"Cambridge, Mass.","Buckingham, Browne & Nichols",2026
Liam High,Middlebury,56,LB,"6'2""",220,"Chatham, N.J.",Chatham,2024
Marcus Kreidler,Middlebury,57,LB,"6'2""",215,"Bethlehem, Pa.",Freedom,2025
Cian Callahan,Middlebury,58,DL,"6'4""",230,"Baltimore, Md.",Loyola Blakefield,2024
Sean Link,Middlebury,59,LB,"5'10""",215,"Morristown, N.J.",Delbarton,2024
Darnell Cineas,Middlebury,60,DL,"5'9""",240,"Boston, Mass.",Noble and Greenough,2025
Travis Emery,Middlebury,61,OL,"6'2""",250,"Spofford, N.H.",Keene,2024
Hugo Gini,Middlebury,63,DL,"5'10""",275,"Bedminster, N.J.",Bernards,2024
Patrick O'Neill,Middlebury,64,OL,"6'5""",290,"Hingham, Mass.",Milton Academy,2024
Devan King,Middlebury,66,OL,"6'0""",300,"Chicago, Ill.",Morgan Park,2026
Thomas Perry,Middlebury,67,OL,"6'3""",300,"Killingworth, Conn.",Haddam Killingworth,2025
Eitan Genger,Middlebury,68,OL,"6'3""",255,"New Canaan, Conn.",King School,2025
Will Zambito,Middlebury,69,OL,"6'5""",290,"Montreal, Quebec",Salisbury School (Conn.),2026
Sam Messina,Middlebury,70,OL,"6'8""",325,"Duxbury, Mass.",Duxbury,2023
Yusuf Mukhtar,Middlebury,71,OL,"6'2""",265,"Milton, Mass.",Deerfield Academy,2024
Josh Mondzelewski,Middlebury,72,OL,"6'3""",270,"Brerntwood, Tenn.",Brentwood,2025
Liam Mitchell,Middlebury,73,OL,"6'1""",260,"Park Ridge, N.J.",St. Joseph's,2025
Charles Farrell,Middlebury,74,OL,"6'3""",285,"Scranton, Pa.",Scranton Prep,2023
Chris Fink,Middlebury,75,OL,"6'3""",290,"Midland Park, N.J.",Glen Rock,2024
Cal Hartman,Middlebury,77,OL,"6'3""",270,"Washington, D.C.",Maret School,2024
Grayson Massey,Middlebury,78,OL,"6'5""",280,"Sudbury, Mass.",Deerfield Academy,2026
Charlie Adams,Middlebury,79,OL,"6'3""",285,"Downers Grove, Ill.",Downers Grove South,2026
Jimmy Cosolito,Middlebury,81,WR,"6'0""",185,"Medfield, Mass.",Medfield,2024
Will Spehr,Middlebury,82,WR,"6'2""",195,"Lloyd Harbor, N.Y.",Cold Spring Harbor,2025
Michael Yamin,Middlebury,83,WR,"5'9""",175,"Middlebury, Conn.",Taft School,2024
Donovan Wood,Middlebury,84,WR,"6'1""",195,"Mastic, N.Y.",Chaminade,2024
Dan Thompson,Middlebury,85,WR,"6'0""",175,"Westport, Conn.",Staples,2023
